dataset_ID;gene_symbol;HGNC_updated;system;stress_type;technique;consensus;comb_technique;consensus_comb_technique (+1 reward);consensus_class
PC3_ars_G3BP1_pl_wt;COX6A1;WAHR;PC3;arsenite;bp;2;bp_pic;3;low
HeLa_ars_G3BP1_pic_wt;COX6A1;WAHR;HeLa;arsenite;pic;2;bp_pic;3;low
PC3_ars_G3BP1_pl_wt;COX6B1;WAHR;PC3;arsenite;bp;2;bp_pl;3;low
HEK293T_hip_elF4A1_pl_wt;COX6B1;WAHR;HEK293T;hippuristanol;pl;2;bp_pl;3;low
HEK293T_heat_elF4A1_pl_wt;COX6B2;WAHR;HEK293T;heatshock;pl;1;pl;1;low
PC3_ars_G3BP1_pl_wt;COX6C;WAHR;PC3;arsenite;bp;2;bp_pic;3;low
HeLa_ars_G3BP1_pic_wt;COX6C;WAHR;HeLa;arsenite;pic;2;bp_pic;3;low
SMMC_ars_G3BP1_bp_wt;COX6CP17;WAHR;SMMC-7721;arsenite;bp;1;bp;1;low
PC3_ars_G3BP1_pl_wt;COX7A2;WAHR;PC3;arsenite;bp;2;bp;2;low
U251_ars_G3BP1_bp_wt;COX7A2;WAHR;U251;arsenite;bp;2;bp;2;low
PC3_ars_G3BP1_pl_wt;COX7A2L;WAHR;PC3;arsenite;bp;1;bp;1;low
Tcell_stim_G3BP1_bp_wt;COX7B;WAHR;T cell;stimulation;bp;3;bp_fanci;4;medium
PC3_ars_G3BP1_pl_wt;COX7B;WAHR;PC3;arsenite;bp;3;bp_fanci;4;medium
HeLa_ars_G3BP1_fanci_wt;COX7B;WAHR;HeLa;arsenite;fanci;3;bp_fanci;4;medium
PC3_ars_G3BP1_pl_wt;COX7C;WAHR;PC3;arsenite;bp;3;bp_fanci;4;medium
HeLa_ars_G3BP1_fanci_wt;COX7C;WAHR;HeLa;arsenite;fanci;3;bp_fanci;4;medium
HeLa_osm_G3BP1_fanci_wt;COX7C;WAHR;HeLa;osmosis;fanci;3;bp_fanci;4;medium
PC3_ars_G3BP1_pl_wt;COX8A;WAHR;PC3;arsenite;bp;1;bp;1;low
Tcell_stim_G3BP1_bp_wt;CPAP;WAHR;T cell;stimulation;bp;3;bp_fanci;4;medium
